[2026-01-22 21:57:30,048] 13 root -  INFO - Intiated the Data Ingestion
[2026-01-22 21:57:32,459] 65 root -  INFO - Performed train test split on the dataframe
[2026-01-22 21:57:32,459] 67 root -  INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-22 21:57:32,460] 75 root -  INFO - Exporting train and test file path.
[2026-01-22 21:57:32,498] 84 root -  INFO - Exported train and test file path.
[2026-01-22 21:57:32,499] 15 root -  INFO - Data Ingestion Completed
[2026-01-22 21:57:32,503] 19 root -  INFO - Intiated Data Validation
[2026-01-22 21:57:32,525] 32 root -  INFO - Required number of columns:2
[2026-01-22 21:57:32,527] 33 root -  INFO - Data frame has columns:31
[2026-01-22 21:57:32,527] 32 root -  INFO - Required number of columns:2
[2026-01-22 21:57:32,527] 33 root -  INFO - Data frame has columns:31
[2026-01-22 21:57:32,623] 21 root -  INFO - Data Validation completed
